,key,values
0,"['CO2-ekv.', '0.4', '1990']",['28861.9']
1,"['CO2-ekv.', '0.4', '1991']",['29269.2']
2,"['CO2-ekv.', '0.4', '1992']",['30069.9']
3,"['CO2-ekv.', '0.4', '1993']",['34527.2']
4,"['CO2-ekv.', '0.4', '1994']",['36127.2']
5,"['CO2-ekv.', '0.4', '1995']",['35548.5']
6,"['CO2-ekv.', '0.4', '1996']",['37116.3']
7,"['CO2-ekv.', '0.4', '1997']",['32242.2']
8,"['CO2-ekv.', '0.4', '1998']",['32915.7']
9,"['CO2-ekv.', '0.4', '1999']",['29574.1']
10,"['CO2-ekv.', '0.4', '2000']",['26988.0']
11,"['CO2-ekv.', '0.4', '2001']",['26710.9']
12,"['CO2-ekv.', '0.4', '2002']",['27480.8']
13,"['CO2-ekv.', '0.4', '2003']",['32042.9']
14,"['CO2-ekv.', '0.4', '2004']",['34916.0']
15,"['CO2-ekv.', '0.4', '2005']",['31836.0']
16,"['CO2-ekv.', '0.4', '2006']",['24964.0']
17,"['CO2-ekv.', '0.4', '2007']",['26033.2']
18,"['CO2-ekv.', '0.4', '2008']",['23952.5']
19,"['CO2-ekv.', '0.4', '2009']",['19921.7']
20,"['CO2-ekv.', '0.4', '2010']",['23153.4']
21,"['CO2-ekv.', '0.4', '2011']",['16963.9']
22,"['CO2-ekv.', '0.4', '2012']",['13619.0']
23,"['CO2-ekv.', '0.4', '2013']",['13527.4']
24,"['CO2-ekv.', '0.4', '2014']",['13781.1']
25,"['CO2-ekv.', '0.4', '2015']",['15178.1']
26,"['CO2-ekv.', '0.4', '2016']",['17216.7']
27,"['CO2-ekv.', '0.4', '2017']",['23955.7']
28,"['CO2-ekv.', '0.4', '2018']",['24886.4']
29,"['CO2-ekv.', '0.4', '2019']",['22023.2']
30,"['CO2-ekv.', '0.4', '2020']",['14174.7']
31,"['CO2-ekv.', '0.4', '2021']",['15173.5']
32,"['CO2', '0.4', '1990']",['13210.4']
33,"['CO2', '0.4', '1991']",['13746.7']
34,"['CO2', '0.4', '1992']",['14714.0']
35,"['CO2', '0.4', '1993']",['18948.5']
36,"['CO2', '0.4', '1994']",['20523.3']
37,"['CO2', '0.4', '1995']",['20035.1']
38,"['CO2', '0.4', '1996']",['21563.7']
39,"['CO2', '0.4', '1997']",['16566.6']
40,"['CO2', '0.4', '1998']",['17264.2']
41,"['CO2', '0.4', '1999']",['14220.0']
42,"['CO2', '0.4', '2000']",['11828.6']
43,"['CO2', '0.4', '2001']",['11682.3']
44,"['CO2', '0.4', '2002']",['12704.8']
45,"['CO2', '0.4', '2003']",['17525.0']
46,"['CO2', '0.4', '2004']",['20279.4']
47,"['CO2', '0.4', '2005']",['17431.4']
48,"['CO2', '0.4', '2006']",['10779.2']
49,"['CO2', '0.4', '2007']",['12280.6']
50,"['CO2', '0.4', '2008']",['10486.3']
51,"['CO2', '0.4', '2009']",['7098.9']
52,"['CO2', '0.4', '2010']",['10222.6']
53,"['CO2', '0.4', '2011']",['4572.7']
54,"['CO2', '0.4', '2012']",['1702.3']
55,"['CO2', '0.4', '2013']",['1749.1']
56,"['CO2', '0.4', '2014']",['1963.1']
57,"['CO2', '0.4', '2015']",['3479.6']
58,"['CO2', '0.4', '2016']",['5584.4']
59,"['CO2', '0.4', '2017']",['12234.8']
60,"['CO2', '0.4', '2018']",['13404.9']
61,"['CO2', '0.4', '2019']",['10692.8']
62,"['CO2', '0.4', '2020']",['2947.1']
